gene,log2FoldChange,p_value,adj_p_value,significant
ENSG00000008988.11,-0.061322313340850254,7.150268033567289e-19,2.502669220607796e-18,False
ENSG00000009335.18,0.019144889244548935,0.04830428449053055,0.05860651435518491,False
ENSG00000009413.16,-0.33397219319042426,6.753466228527548e-38,5.895161420104478e-37,False
ENSG00000009780.16,-0.13729874123081798,2.526800834817129e-31,1.6475337152438284e-30,False
ENSG00000009790.15,0.1879606629773971,1.544551756741969e-06,2.679591411539596e-06,False
ENSG00000009830.12,-0.005115105337125225,0.7536287006820381,0.7757887505656167,False
ENSG00000009844.16,0.044122096473118155,6.862427874758288e-05,0.00010610802101541095,False
ENSG00000009950.16,-1.1270194632470711,1.2112059417440804e-50,1.8943215266070944e-49,True
ENSG00000009954.11,0.057963910893677806,9.726555533116369e-10,2.072983078814963e-09,False
ENSG00000010017.13,0.07100035096240331,5.521691417663958e-15,1.568149022500697e-14,False
ENSG00000010030.14,0.4895014828721487,1.8496157626937393e-26,9.552606276420762e-26,False
ENSG00000010072.16,0.11414623384421452,3.4083637806361386e-09,7.039879085869565e-09,False
ENSG00000010165.20,0.11958570001609559,3.671498628745329e-24,1.6904785861653714e-23,False
ENSG00000010219.13,0.05789808590153522,0.0024691337953215223,0.0033836655545103097,False
ENSG00000010244.19,0.053180347176660536,1.752489539706755e-05,2.8242023329021937e-05,False
ENSG00000010256.11,0.06101939685253921,5.056591166086435e-11,1.1568878231082076e-10,False
ENSG00000010270.14,0.010014192372592046,0.2680675594938519,0.29780498642571995,False
ENSG00000010278.15,0.15975541767832357,1.794041622756285e-14,4.9658593307786137e-14,False
ENSG00000010292.13,0.14551136039401058,3.182822334159944e-17,1.0219766604692358e-16,False
ENSG00000010295.20,-0.18790796713555546,6.809475878895838e-20,2.5188685406686924e-19,False
ENSG00000010310.9,-0.020936179865328475,0.5526093696324414,0.5843741957481987,False
ENSG00000010318.21,-0.19064238367972242,2.809704886240417e-23,1.2378086672866681e-22,False
ENSG00000010319.7,-0.6963368478892709,2.717910240209484e-82,1.560588322700214e-80,True
ENSG00000010322.16,-0.13732263316057702,2.7356783268274858e-17,8.81130554258061e-17,False
ENSG00000010327.10,-0.19438591487737034,7.627737887423993e-12,1.8222672401945546e-11,False
ENSG00000010361.14,-0.006118376079512711,0.7079531355923667,0.7330446981167935,False
ENSG00000010404.18,-0.13129531663167748,4.731284270599423e-07,8.487668236359657e-07,False
ENSG00000010539.12,0.14096036701394032,6.815093992604386e-16,2.03252461742051e-15,False
ENSG00000010610.10,0.0034282020163773907,0.8562581359590073,0.8711144324752479,False
ENSG00000010626.15,0.10316322077967977,1.6613482798867714e-07,3.080269648764367e-07,False
