gene,log2FoldChange,p_value,adj_p_value,significant,neg_log10_p
ENSG00000152580.8,-1.2413902177897342,1.701931470613753e-79,8.663144424344974e-78,True,77.06232444536398
ENSG00000152766.6,0.6193886364573871,7.79695507148658e-23,3.345815165664554e-22,True,21.475498054631597
ENSG00000152784.16,-0.5399877215148182,1.5467023992650213e-52,2.6351108432652734e-51,True,50.57920111191026
ENSG00000153002.12,-0.5234784330461235,5.426680310637085e-10,1.172072537741921e-09,True,8.931045509677828
ENSG00000153064.12,-0.5886217972431554,5.650079284356885e-25,2.709751897243299e-24,True,23.567070470967206
ENSG00000153132.13,0.5116464825993667,2.4952736626437638e-18,8.509365219463753e-18,True,17.070102836151193
ENSG00000153162.9,-0.7641303378784163,4.8045625496057676e-71,1.7756550322529646e-69,True,68.75064140350169
ENSG00000153246.13,-0.5044258256566059,7.138665156665567e-38,6.21832071442039e-37,True,36.20632688266093
ENSG00000153291.16,-0.8603536100297839,4.3654209494225844e-95,4.0469159349004676e-93,True,92.39287581695463
ENSG00000153446.16,-0.8665741553486888,7.628124314297935e-98,8.55277668050405e-96,True,95.06789286758165
ENSG00000153823.19,-0.8029490051693302,3.6602344377400057e-78,1.7969801852028892e-76,True,75.74545671170821
ENSG00000153902.14,-0.835801488179599,4.423329162932082e-78,2.1588448273439693e-76,True,75.6657785726033
ENSG00000153956.16,-0.6097107779589306,6.2079019122972895e-58,1.341327139748193e-56,True,55.87246528802422
ENSG00000153976.3,0.5040499342547093,3.0481668041780998e-49,4.4253088318925093e-48,True,47.35405641551835
ENSG00000153993.13,-0.9562225360867582,9.878096608039239e-69,3.284912527330724e-67,True,66.48347619061056
ENSG00000154027.19,-0.9044371358581411,6.642579175452001e-26,3.3483280327293594e-25,True,24.475172001149048
ENSG00000154065.17,-0.9808004304895073,2.239013959662693e-174,1.9554840866654067e-171,True,170.70874571389825
ENSG00000154133.15,-0.5085629172131996,5.5769001303047895e-62,1.3958232392500403e-60,True,59.8551695753223
ENSG00000154134.15,-0.7395437980269337,1.9377672398124138e-75,8.506695655409311e-74,True,73.07023910469842
ENSG00000154175.18,-0.7506651145031353,4.106395369571648e-65,1.1871345777468976e-63,True,62.925500045106155
ENSG00000154188.10,-0.9547369204964267,5.657565904845492e-55,1.0741607394165457e-53,True,52.96893072513716
